source_id	path	kind	locator	body_sha
sa990beff8ea4	session-system/extensions/workflow/session-ledger.ts	hunk	-0,0 +1,316	bcd0f0918a03
s72ff842f2a01	session-system/extensions/workflow/status.ts	hunk	-0,0 +1,38	875b42d1de93
sa092eb3dfafd	session-system/extensions/workflow/tool-description.md	hunk	-0,0 +1	d38c71819760
s0540caff99b3	session-system/extensions/workflow/transcript.ts	hunk	-0,0 +1,28	4bafa0478790
sf47ce157e5c1	session-system/extensions/workflow/work.ts	hunk	-0,0 +1,1431	60419f246f8a
sd782ecdd73bc	session-system/hooks/task-observer-first-tool.mjs	hunk	-0,0 +1,106	c699dc4da921
s28a618582c94	session-system/install.sh	hunk	-0,0 +1,130	fc9b16fc78c7
s5a05ded47f99	session-system/prompts/archive/PROMPT-adhd-session-review.md	hunk	-0,0 +1,99	8c897670d677
s7b68dfb31a6b	session-system/prompts/archive/PROMPT-omp-extension-casualties.md	hunk	-0,0 +1,78	aa0da5898954
sd85bee20534c	session-system/prompts/archive/PROMPT-omp-linear-integration.md	hunk	-0,0 +1,99	1ff249f350ec
sd85518b678e9	session-system/prompts/archive/PROMPT-omp-system-walkthrough.md	hunk	-0,0 +1,69	95260528f56f
s2bee561474c9	session-system/prompts/archive/PROMPT-session-product-drain.md	hunk	-0,0 +1,96	bcf32c7db737
sdfc438d99812	session-system/prompts/archive/PROMPT-session-system-hardening.md	hunk	-0,0 +1,87	77741c2e9257
s57f48791ad65	session-system/prompts/archive/PROMPT-session-system-v2.md	hunk	-0,0 +1,105	1f84ff0e026d
s7bd4d5dc2b41	session-system/prompts/archive/PROMPT-session-verdict-drain.md	hunk	-0,0 +1,89	4e3a9c7884d4
sc260e87c315d	session-system/refresh-natives.sh	hunk	-0,0 +1,30	1b80a439ba2d
sf7f79e063f11	session-system/rules/work-plan.md	hunk	-0,0 +1,66	a02ca87d67b7
s56e909583d5c	session-system/skills/caveman-commit/README.md	hunk	-0,0 +1,44	15bc366178ae
s4a6500f0bceb	session-system/skills/caveman-commit/SKILL.md	hunk	-0,0 +1,65	d2661d447543
s9cafe0bcc731	session-system/skills/caveman-compress/README.md	hunk	-0,0 +1,163	c518e4e916d4
sb1783aa6a180	session-system/skills/caveman-compress/SECURITY.md	hunk	-0,0 +1,31	d73e2c94625a
s87fd539a815a	session-system/skills/caveman-compress/SKILL.md	hunk	-0,0 +1,111	58a4d199447d
s8473aa6097d4	session-system/skills/caveman-compress/scripts/__init__.py	hunk	-0,0 +1,9	d16b50420279
s06e36b18e830	session-system/skills/caveman-compress/scripts/__main__.py	hunk	-0,0 +1,3	d02d66783731
sff8574f88063	session-system/skills/caveman-compress/scripts/benchmark.py	hunk	-0,0 +1,80	c03c34e9da03
sf2d0af0669c6	session-system/skills/caveman-compress/scripts/cli.py	hunk	-0,0 +1,85	0ad1830aa1d3
sea07ef1aa068	session-system/skills/caveman-compress/scripts/compress.py	hunk	-0,0 +1,414	e42258e4f8f7
sd0dd0fb987b5	session-system/skills/caveman-compress/scripts/detect.py	hunk	-0,0 +1,139	575f059a0b44
sd936791933a1	session-system/skills/caveman-compress/scripts/validate.py	hunk	-0,0 +1,221	f781790416b0
sf4853a26025c	session-system/skills/caveman-help/README.md	hunk	-0,0 +1,38	e17299cfb47f
s5b3476e996aa	session-system/skills/caveman-help/SKILL.md	hunk	-0,0 +1,63	513023726141
s5d4752b93fc4	session-system/skills/caveman-review/README.md	hunk	-0,0 +1,33	92d7905d02df
sa5d14f893aa1	session-system/skills/caveman-review/SKILL.md	hunk	-0,0 +1,55	0091c7bdb221
s0b5140a1ab3a	session-system/skills/caveman/README.md	hunk	-0,0 +1,48	88c9134482a6
s6322c75b1833	session-system/skills/caveman/SKILL.md	hunk	-0,0 +1,88	a51c53c4538c
s4d01faadf462	session-system/skills/intake/SKILL.md	hunk	-0,0 +1,390	b2372bd53712
se0af49a93105	session-system/skills/notebooklm/API.md	hunk	-0,0 +1,1043	f88f9ae09e9d
sf444abae6b41	session-system/skills/notebooklm/SKILL.md	hunk	-0,0 +1,262	44765e6a0232
s3cb5466fda77	session-system/skills/notebooklm/playbooks.md	hunk	-0,0 +1,444	4580d6d3177a
s75b71d4b991b	session-system/skills/notebooklm/reference.md	hunk	-0,0 +1,529	32c270da82da
s66f99c8d763d	session-system/skills/prompt-master/LICENSE	hunk	-0,0 +1,21	ee7154040e28
s9829096ec582	session-system/skills/prompt-master/README.md	hunk	-0,0 +1,411	865d8a31d947
